date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:07:17	73780/73780	---MCZ	200	added ('OK')	text/html	etag:W/%226408b987-12034%22	https://debtforgive.org/usdebtjesse/debt-assistance/apply/form2.html	/Users/murtazaahmad/websites/debt%20collection/debtforgive.org/usdebtjesse/debt-assistance/apply/form2.html	(from )
13:07:18	146/146	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2023%20Mar%202023%2018:07:17%20GMT	https://debtforgive.org/robots.txt		(from )
13:07:19	115257/115257	---MCZ	200	added ('OK')	text/css	etag:W/%2264075a2e-1c239%22	https://debtforgive.org/usdebtjesse/debt-assistance/apply/css/form_style.css	/Users/murtazaahmad/websites/debt%20collection/debtforgive.org/usdebtjesse/debt-assistance/apply/css/form_style.css	(from https://debtforgive.org/usdebtjesse/debt-assistance/apply/form2.html)
13:07:20	2863/2863	---MCZ	200	added ('OK')	text/css	etag:W/%22640756bb-b2f%22	https://debtforgive.org/usdebtjesse/debt-assistance/apply/css/address_finder_new.css	/Users/murtazaahmad/websites/debt%20collection/debtforgive.org/usdebtjesse/debt-assistance/apply/css/address_finder_new.css	(from https://debtforgive.org/usdebtjesse/debt-assistance/apply/form2.html)
13:07:21	23991/23991	---MCZ	200	added ('OK')	text/css	etag:W/%22640756bb-5db7%22	https://debtforgive.org/usdebtjesse/debt-assistance/maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	/Users/murtazaahmad/websites/debt%20collection/debtforgive.org/usdebtjesse/debt-assistance/maxcdn.bootstrapcdn.com/font-awesome/4.3.0/css/font-awesome.min.css	(from https://debtforgive.org/usdebtjesse/debt-assistance/apply/form2.html)
13:07:22	597/597	---MC-	200	added ('OK')	text/css	date:Thu,%2023%20Mar%202023%2018:07:21%20GMT	https://fonts.googleapis.com/css?family=Raleway:300,400,500	/Users/murtazaahmad/websites/debt%20collection/fonts.googleapis.com/csse379.css	(from https://debtforgive.org/usdebtjesse/debt-assistance/apply/form2.html)
13:07:23	2475/2475	---MC-	200	added ('OK')	text/css	date:Thu,%2023%20Mar%202023%2018:07:22%20GMT	https://fonts.googleapis.com/css?family=Open+Sans:400,300,300italic,400italic,600,600italic,700,700italic,800,800italic	/Users/murtazaahmad/websites/debt%20collection/fonts.googleapis.com/cssaa44.css	(from https://debtforgive.org/usdebtjesse/debt-assistance/apply/form2.html)
13:07:23	3141/3141	---M--	200	added ('OK')	image/png	etag:%22640756bb-c45%22	https://debtforgive.org/usdebtjesse/debt-assistance/apply/apple-touch-icon.png	/Users/murtazaahmad/websites/debt%20collection/debtforgive.org/usdebtjesse/debt-assistance/apply/apple-touch-icon.png	(from https://debtforgive.org/usdebtjesse/debt-assistance/apply/form2.html)
13:07:24	1574/1574	---M--	200	added ('OK')	image/png	etag:%22640756bb-626%22	https://debtforgive.org/usdebtjesse/debt-assistance/apply/favicon-32x32.png	/Users/murtazaahmad/websites/debt%20collection/debtforgive.org/usdebtjesse/debt-assistance/apply/favicon-32x32.png	(from https://debtforgive.org/usdebtjesse/debt-assistance/apply/form2.html)
13:07:25	1122/1122	---M--	200	added ('OK')	image/png	etag:%22640756bb-462%22	https://debtforgive.org/usdebtjesse/debt-assistance/apply/favicon-16x16.png	/Users/murtazaahmad/websites/debt%20collection/debtforgive.org/usdebtjesse/debt-assistance/apply/favicon-16x16.png	(from https://debtforgive.org/usdebtjesse/debt-assistance/apply/form2.html)
13:07:26	264/264	---M--	200	added ('OK')	application/json	etag:%22108-5f650fb2c09be%22	https://debtforgive.org/usdebtjesse/debt-assistance/apply/manifest.json	/Users/murtazaahmad/websites/debt%20collection/debtforgive.org/usdebtjesse/debt-assistance/apply/manifest.json	(from https://debtforgive.org/usdebtjesse/debt-assistance/apply/form2.html)
13:07:27	941/941	---M--	200	added ('OK')	image/svg+xml	etag:%223ad-5f650fb2c0da6%22	https://debtforgive.org/usdebtjesse/debt-assistance/apply/safari-pinned-tab.svg	/Users/murtazaahmad/websites/debt%20collection/debtforgive.org/usdebtjesse/debt-assistance/apply/safari-pinned-tab.svg	(from https://debtforgive.org/usdebtjesse/debt-assistance/apply/form2.html)
13:07:29	2729/2729	---MCZ	200	added ('OK')	application/javascript	etag:W/%22640756bb-aa9%22	https://debtforgive.org/usdebtjesse/debt-assistance/apply/js/modernizr-custom.js	/Users/murtazaahmad/websites/debt%20collection/debtforgive.org/usdebtjesse/debt-assistance/apply/js/modernizr-custom.js	(from https://debtforgive.org/usdebtjesse/debt-assistance/apply/form2.html)
13:07:29	109540/109540	---M-Z	200	added ('OK')	application/x-javascript	date:Thu,%2023%20Mar%202023%2018:07:29%20GMT	https://connect.facebook.net/en_US/fbevents.js	/Users/murtazaahmad/websites/debt%20collection/connect.facebook.net/en_US/fbevents.js	(from https://debtforgive.org/usdebtjesse/debt-assistance/apply/form2.html)
13:07:30	0/0	---M--	200	added ('OK')	text/plain	date:Thu,%2023%20Mar%202023%2018:07:30%20GMT	https://www.facebook.com/tr?id=542035123199911&ev=PageView&noscript=1	/Users/murtazaahmad/websites/debt%20collection/www.facebook.com/tr.d78cd.delayed	(from https://debtforgive.org/usdebtjesse/debt-assistance/apply/form2.html)
13:07:31	1347/1347	---M--	200	added ('OK')	image/png	etag:%22640756bb-543%22	https://debtforgive.org/usdebtjesse/debt-assistance/apply/images/logo-blue-header%402x.png	/Users/murtazaahmad/websites/debt%20collection/debtforgive.org/usdebtjesse/debt-assistance/apply/images/logo-blue-header@2x.png	(from https://debtforgive.org/usdebtjesse/debt-assistance/apply/form2.html)
13:07:33	18227/18227	---MCZ	200	added ('OK')	text/html	etag:W/%2264075e1d-4733%22	https://debtforgive.org/usdebtjesse/debt-assistance/apply/privacy-policy.html	/Users/murtazaahmad/websites/debt%20collection/debtforgive.org/usdebtjesse/debt-assistance/apply/privacy-policy.html	(from https://debtforgive.org/usdebtjesse/debt-assistance/apply/form2.html)
13:07:34	11226/11226	---MCZ	200	added ('OK')	text/html	etag:W/%226408b9b5-2bda%22	https://debtforgive.org/usdebtjesse/debt-assistance/apply/terms-of-use.html	/Users/murtazaahmad/websites/debt%20collection/debtforgive.org/usdebtjesse/debt-assistance/apply/terms-of-use.html	(from https://debtforgive.org/usdebtjesse/debt-assistance/apply/form2.html)
13:07:34	4030/4030	---M--	200	added ('OK')	image/png	etag:%22640756bb-fbe%22	https://debtforgive.org/usdebtjesse/debt-assistance/apply/img/close.png	/Users/murtazaahmad/websites/debt%20collection/debtforgive.org/usdebtjesse/debt-assistance/apply/img/close.png	(from https://debtforgive.org/usdebtjesse/debt-assistance/apply/form2.html)
13:07:36	86709/86709	---MCZ	200	added ('OK')	application/javascript	etag:W/%22640756bb-152b5%22	https://debtforgive.org/usdebtjesse/debt-assistance/apply/js/jquery-3.1.1.min.js	/Users/murtazaahmad/websites/debt%20collection/debtforgive.org/usdebtjesse/debt-assistance/apply/js/jquery-3.1.1.min.js	(from https://debtforgive.org/usdebtjesse/debt-assistance/apply/form2.html)
13:07:37	11807/11807	---MCZ	200	added ('OK')	application/javascript	etag:W/%22640756bb-2e1f%22	https://debtforgive.org/usdebtjesse/debt-assistance/apply/js/picturefill.min.js	/Users/murtazaahmad/websites/debt%20collection/debtforgive.org/usdebtjesse/debt-assistance/apply/js/picturefill.min.js	(from https://debtforgive.org/usdebtjesse/debt-assistance/apply/form2.html)
13:07:38	6703/6703	---MCZ	200	added ('OK')	application/javascript	etag:W/%22640756bb-1a2f%22	https://debtforgive.org/usdebtjesse/debt-assistance/apply/js/jcf.js	/Users/murtazaahmad/websites/debt%20collection/debtforgive.org/usdebtjesse/debt-assistance/apply/js/jcf.js	(from https://debtforgive.org/usdebtjesse/debt-assistance/apply/form2.html)
